team,team_id,mascot,nickname,abbreviation,display_name,short_name,logo,logo_dark,lng,lat,conference
Southeast Missouri State,2546,Redhawks,SE Missouri St,SEMO,Southeast Missouri State Redhawks,SE Missouri St,https://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2546.png,-89.59015,37.34553,Ohio Valley Conference
Ole Miss,145,Rebels,Ole Miss,MISS,Ole Miss Rebels,Ole Miss,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png,-89.53536,34.36677,Southeastern Conference
Wisconsin,275,Badgers,Wisconsin,WISC,Wisconsin Badgers,Wisconsin,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/275.png,-89.41095,43.07388,Big Ten Conference
Southern Miss,2572,Golden Eagles,Southern Miss,USM,Southern Miss Golden Eagles,Southern Miss,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2572.png,-89.33197,31.32694,Conference USA
Illinois State,2287,Redbirds,Illinois State,ILST,Illinois State Redbirds,Illinois State,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2287.png,-88.91395,40.48299,Missouri Valley Conference[k]
UT Martin,2630,Skyhawks,UT Martin,UTM,UT Martin Skyhawks,UT Martin,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2630.png,-88.86423,36.34145,Ohio Valley Conference
Northern Illinois,2459,Huskies,N Illinois,NIU,Northern Illinois Huskies,N Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2459.png,-88.77592,41.93753,Mid-American Conference
Murray State,93,Racers,Murray State,MUR,Murray State Racers,Murray State,https://a.espncdn.com/i/teamlogos/ncaa/500/93.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/93.png,-88.32226,36.61144,Ohio Valley Conference
Eastern Illinois,2197,Panthers,E Illinois,EIU,Eastern Illinois Panthers,E Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2197.png,-88.1756,39.48059,Ohio Valley Conference
South Alabama,6,Jaguars,South Alabama,USA,South Alabama Jaguars,South Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/6.png,-88.04305,30.69436,Sun Belt Conference
Green Bay,2739,Phoenix,Green Bay,GB,Green Bay Phoenix,Green Bay,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2739.png,-87.91994,44.53229,Horizon League
Marquette,269,Golden Eagles,Marquette,MARQ,Marquette Golden Eagles,Marquette,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/269.png,-87.88126,43.07535,Big East Conference
Milwaukee,270,Panthers,Milwaukee,MILW,Milwaukee Panthers,Milwaukee,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/270.png,-87.88126,43.07535,Horizon League
St. Francis (PA),2598,Red Flash,St. Fran. (PA),SFPA,St. Francis (PA) Red Flash,St. Fran. (PA),https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2598.png,-87.71338,41.70726,Northeast Conference
Northwestern,77,Wildcats,Northwestern,NW,Northwestern Wildcats,Northwestern,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/77.png,-87.6745,42.05559,Big Ten Conference
Chicago State,2130,Cougars,Chicago State,CHIC,Chicago State Cougars,Chicago State,https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2130.png,-87.64922,41.87198,Western Athletic Conference[f]
DePaul,305,Blue Demons,DePaul,DEP,DePaul Blue Demons,DePaul,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/305.png,-87.64922,41.87198,Big East Conference
Loyola Chicago,2350,Ramblers,Loyola Chicago,LUC,Loyola Chicago Ramblers,Loyola Chicago,https://a.espncdn.com/i/teamlogos/ncaa/500/2350.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2350.png,-87.64922,41.87198,Missouri Valley Conference
UIC,82,Flames,UIC,UIC,UIC Flames,UIC,https://a.espncdn.com/i/teamlogos/ncaa/500/82.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/82.png,-87.64922,41.87198,Horizon League
Alabama,333,Crimson Tide,Alabama,ALA,Alabama Crimson Tide,Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png,-87.56917,33.20984,Southeastern Conference
Evansville,339,Purple Aces,Evansville,EVAN,Evansville Purple Aces,Evansville,https://a.espncdn.com/i/teamlogos/ncaa/500/339.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/339.png,-87.53168,37.97171,Missouri Valley Conference
Indiana State,282,Sycamores,Indiana State,INST,Indiana State Sycamores,Indiana State,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/282.png,-87.40863,39.46865,Missouri Valley Conference[k]
Austin Peay,2046,Governors,Austin Peay,APSU,Austin Peay Governors,Austin Peay,https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2046.png,-87.35408,36.53332,Ohio Valley Conference
