team,Conf,Week,value,team_id,mascot,nickname,abbreviation,display_name,short_name,color,alternate_color,logo,logo_dark
BYU,WCC,7,11,252,Cougars,BYU,BYU,BYU Cougars,BYU,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png
BYU,WCC,8,11,252,Cougars,BYU,BYU,BYU Cougars,BYU,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png
BYU,WCC,9,11,252,Cougars,BYU,BYU,BYU Cougars,BYU,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png
BYU,WCC,16,11,252,Cougars,BYU,BYU,BYU Cougars,BYU,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png
BYU,WCC,17,11,252,Cougars,BYU,BYU,BYU Cougars,BYU,001E4C,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png
Clemson,ACC,4,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,8,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,5,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,6,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,7,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,14,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,9,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,1,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,2,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,3,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,12,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,13,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,10,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,11,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,17,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,15,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Clemson,ACC,16,11,228,Tigers,Clemson,CLEM,Clemson Tigers,Clemson,F66733,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png
Colorado,Pac-12,16,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,15,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,6,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,17,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,4,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,5,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,1,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,2,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,3,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,8,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,9,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
Colorado,Pac-12,10,11,38,Buffaloes,Colorado,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png
